"","sample","library_processing_notes","marker","Study","Tree","Sex","Collection","Season","Weevil","Nitrogen","Stream","Notes"
"P01_01_A","1144","","ITS1","EH2","E-2","Female","Fall","Fall","No",8,"Geo-W",""
"P01_01_B","1089","","ITS1","EH2","E-1","Female","Fall","Fall","No",0,"Geo-W","again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
"P01_01_C","1162","","ITS1","EH2","E-9","Female","Fall","Fall","No",16,"Geo-W",""
"P01_01_D","1396","","ITS1","EH2","E-7","Male","Fall","Fall","No",8,"Geo-W",""
"P01_01_E","1209","","ITS1","EH2","E-14","Male","Fall","Fall","No",0,"Geo-W",""
"P01_01_F","1059","","ITS1","EH2","E-6","Male","Fall","Fall","Yes",16,"Geo-W",""
"P01_01_G","1128","","ITS1","EH2","E-15","Male","Fall","Fall","No",16,"Geo-W",""
"P01_01_H","2005","","ITS1","EH2","E-9","Female","Fall","Fall","No",16,"Geo-W",""
"P01_02_A","1317","","ITS1","SH2","6281","Female","Summer","Summer","Yes",0,"Geo-W","pellet in supernatant transfer"
"P01_02_C","1028","","ITS1","SH2","8358","Female","Fall","Summer","No",0,"Geo-W",""
"P01_02_D","1169","","ITS1","SH2","8377","Female","Fall","Summer","No",0,"Geo-W",""
"P01_02_E","1054","","ITS1","EH2","E-6","Male","Fall","Fall","Yes",16,"Geo-W",""
"P01_02_F","1216","","ITS1","EH2","E-14","Male","Fall","Fall","No",0,"Geo-W",""
"P01_02_G","1145","","ITS1","EH2","E-2","Female","Fall","Fall","No",8,"Geo-W",""
"P01_02_H","1100","","ITS1","EH2","E-10","Female","Fall","Fall","Yes",0,"Geo-W",""
"P01_03_A","1336","","ITS1","SH2","8327","Female","Fall","Summer","No",0,"Geo-W",""
"P01_03_C","1333","","ITS1","SH2","8366","Female","Fall","Summer","No",0,"Geo-W",""
"P01_03_D","1323","","ITS1","SH2","6513","Male","Summer","Summer","Yes",0,"Geo-W",""
"P01_03_E","1357","","ITS1","FH2","1471","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_03_F","1347","","ITS1","FH2","6251","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_03_G","1112","","ITS1","FH2","8357","Male","Fall","Fall","No",0,"Geo-W",""
"P01_03_H","1351","","ITS1","FH2","P-907","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_04_A","1338","","ITS1","SH2","8365","Male","Fall","Summer","No",0,"Geo-W",""
"P01_04_B","1141","","ITS1","EH2","E-17","Male","Fall","Fall","No",8,"Geo-W",""
"P01_04_C","1051","","ITS1","FH2","8343","Male","Fall","Fall","No",0,"Geo-W",""
"P01_04_D","1088","","ITS1","FH2","8387","Male","Fall","Fall","No",0,"Geo-W",""
"P01_04_E","1314","","ITS1","SH2","6295","Female","Summer","Summer","Yes",0,"Geo-W",""
"P01_04_F","1254","","ITS1","FH2","6242","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_04_G","1363","","ITS1","FH2","6513","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_04_H","1038","","ITS1","FH2","8331","Male","Fall","Fall","No",0,"Geo-W",""
"P01_05_A","1120","","ITS1","EH2","E-15","Male","Fall","Fall","No",16,"Geo-W",""
"P01_05_B","1132","","ITS1","EH2","E-7","Male","Fall","Fall","No",8,"Geo-W",""
"P01_05_C","1327","","ITS1","SH2","1471","Male","Summer","Summer","Yes",0,"Geo-W",""
"P01_05_D","1369","","ITS1","FH2","S-1","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_05_E","1343","","ITS1","FH2","6325","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_05_F","1294","","ITS1","SH2","P-907","Male","Summer","Summer","Yes",0,"Geo-W","small weight loss -leaf fell"
"P01_05_G","1270","","ITS1","FH2","8314","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_05_H","1067","","ITS1","FH2","8380","Female","Fall","Fall","No",0,"Geo-W",""
"P01_06_A","1233","","ITS1","EH2","E-3","Female","Fall","Fall","No",16,"Geo-W",""
"P01_06_C","1048","","ITS1","SH2","8343","Male","Fall","Summer","No",0,"Geo-W",""
"P01_06_D","1267","","ITS1","SH2","8314","Female","Summer","Summer","Yes",0,"Geo-W",""
"P01_06_E","1017","","ITS1","SH2","8356","Female","Fall","Summer","No",0,"Geo-W",""
"P01_06_F","1303","","ITS1","SH2","6278","Male","Summer","Summer","Yes",0,"Geo-W","Batch 2 (second four samples below?) sat longer in C1 solution; All 12 below stored in freezer for nanodrop?"
"P01_06_G","1360","","ITS1","FH2","8319","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_06_H","1071","sample vial says 1171, but really 1071","ITS1","SH2","8361","Male","Fall","Summer","No",0,"Geo-W",""
"P01_07_A","1184","","ITS1","EH2","E-11","Female","Fall","Fall","No",0,"Geo-W",""
"P01_07_B","1239","","ITS1","EH2","E-3","Female","Fall","Fall","No",16,"Geo-W","new spin columns used on these 12 below; again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
